label,auc_prd_mu,rec_at_p0.60_mu,rec_at_p0.70_mu,rec_at_p0.76_mu,source
dpp,0.0967152050423799,0.0762477809091571,0.0751042496239111,0.0745807816914918,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/eval/exp1_3.0_truck.csv
pg,0.1093810963061903,0.0861875615963213,0.0831927322563246,0.0818780109229711,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/pg_truck/eval/exp1_3.0_truck.csv
cads,0.0936496335546415,0.0780804856306023,0.0765871650775432,0.0759150109460661,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/cads_truck/eval/exp1_3.0_truck.csv
