label,auc_prd_mu,rec_at_p0.60_mu,rec_at_p0.70_mu,rec_at_p0.76_mu,source
dpp,0.0740360526913333,0.0685519738906742,0.068228898630552,0.0680778758006614,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/eval/exp1_5.0_truck.csv
pg,0.0821328889110312,0.0710470353798248,0.0697431854398677,0.0691626385917542,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/pg_truck/eval/exp1_5.0_truck.csv
cads,0.0819985832547874,0.0724166797224194,0.0714957499872857,0.0710752481690001,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/cads_truck/eval/exp1_5.0_truck.csv
