method,num_prompts_before,vendi_inception_before,vendi_pixel_before,clip_score_before,one_minus_ms_ssim_before,num_prompts_after,vendi_inception_after,vendi_pixel_after,clip_score_after,one_minus_ms_ssim_after,vendi_inception_delta,vendi_pixel_delta,clip_score_delta,one_minus_ms_ssim_delta,num_removed
base,80,2.8943625,2.2090675,36.9791,0.8699349999999999,64,2.8931515625,2.1864234375,36.740446875,0.865346875,-0.001210937500000231,-0.022644062500000395,-0.23865312499999902,-0.004588124999999943,16
ourmethod,80,2.89148625,2.68187,36.825306250000004,0.8861212500000001,64,2.92475,2.671296875,36.7470890625,0.888959375,0.03326375000000015,-0.010573125000000072,-0.07821718750000173,0.0028381249999999136,16
cads,80,2.90771625,2.2208599999999996,37.06433375,0.8693899999999999,64,2.91294375,2.19855,36.853209375000006,0.8649625000000001,0.005227500000000163,-0.022309999999999608,-0.21112437499999714,-0.004427499999999807,16
pg,80,2.92608125,2.420975,36.926903749999994,0.85704125,64,2.929440625,2.404271875,36.782824999999995,0.8600890625000001,0.003359374999999609,-0.01670312499999982,-0.14407874999999848,0.00304781250000008,16
dpp,48,2.7705458333333333,2.4160291666666667,37.247637499999996,0.8630979166666667,39,2.762171794871795,2.3680820512820517,37.120007692307695,0.8698615384615386,-0.00837403846153828,-0.047947115384614936,-0.12762980769230126,0.006763621794871888,9
mix,80,3.11109,2.7875924999999997,36.01759875,0.92559875,64,3.1204515625,2.793096875,35.7617484375,0.9286078125,0.009361562500000087,0.005504375000000117,-0.25585031249999446,0.0030090624999999926,16
apg,80,2.86339625,2.47631375,36.8189025,0.8730174999999999,64,2.867109375,2.464996875,36.6228671875,0.8759062499999999,0.003713124999999984,-0.011316874999999893,-0.19603531250000117,0.0028887499999999955,16
