method,num_prompts,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim
base,64,2.8931515625,2.1864234375,36.740446875,0.865346875
ourmethod,64,2.92475,2.671296875,36.7470890625,0.888959375
cads,64,2.91294375,2.19855,36.853209375000006,0.8649625000000001
pg,64,2.929440625,2.404271875,36.782824999999995,0.8600890625000001
dpp,39,2.762171794871795,2.3680820512820517,37.120007692307695,0.8698615384615386
mix,64,3.1204515625,2.793096875,35.7617484375,0.9286078125
apg,64,2.867109375,2.464996875,36.6228671875,0.8759062499999999
