method,num_prompts,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim
base,80,1.9022525,1.6498075,37.4191,0.861515
ourmethod,80,1.91771125,1.671205,37.36899125,0.8662712500000002
cads,80,1.89701375,1.65505125,37.42440875,0.85970625
pg,80,1.8936162500000002,1.5901224999999999,37.52264375,0.83324
dpp,80,1.9222100000000002,1.7241275000000003,37.074495,0.86317
mix,80,1.9869712499999999,1.7457850000000001,36.381842500000005,0.9139250000000001
apg,80,1.8995975,1.64968125,37.439941250000004,0.86122625
