method,num_prompts_before,vendi_inception_before,vendi_pixel_before,clip_score_before,one_minus_ms_ssim_before,num_prompts_after,vendi_inception_after,vendi_pixel_after,clip_score_after,one_minus_ms_ssim_after,vendi_inception_delta,vendi_pixel_delta,clip_score_delta,one_minus_ms_ssim_delta,num_removed
base,80,1.9022525,1.6498075,37.4191,0.861515,48,1.8385708333333335,1.6385416666666668,37.75217916666667,0.8685645833333333,-0.06368166666666641,-0.011265833333333308,0.33307916666667126,0.007049583333333276,32
ourmethod,80,1.91771125,1.671205,37.36899125,0.8662712500000002,48,1.8787687499999999,1.6667958333333335,37.95224375,0.88253125,-0.0389425000000001,-0.004409166666666575,0.5832525000000004,0.01625999999999983,32
cads,80,1.89701375,1.65505125,37.42440875,0.85970625,48,1.8342791666666667,1.643225,37.820597916666664,0.8685770833333333,-0.06273458333333326,-0.01182625000000015,0.3961891666666659,0.008870833333333272,32
pg,80,1.8936162500000002,1.5901224999999999,37.52264375,0.83324,48,1.8251249999999999,1.5795812500000002,37.80679791666667,0.8390770833333333,-0.06849125000000034,-0.010541249999999724,0.28415416666666715,0.005837083333333326,32
dpp,80,1.9222100000000002,1.7241275000000003,37.074495,0.86317,48,1.8692229166666667,1.7594729166666667,37.1263875,0.8654166666666666,-0.05298708333333346,0.03534541666666646,0.05189250000000101,0.002246666666666619,32
mix,80,1.9869712499999999,1.7457850000000001,36.381842500000005,0.9139250000000001,48,1.9496479166666667,1.7405916666666663,36.839354166666666,0.9233166666666667,-0.03732333333333315,-0.005193333333333827,0.45751166666666165,0.009391666666666576,32
apg,80,1.8995975,1.64968125,37.439941250000004,0.86122625,48,1.83360625,1.6384687500000001,37.767712499999995,0.8681104166666667,-0.06599124999999995,-0.011212499999999848,0.32777124999999074,0.006884166666666691,32
