method,concept,guidance,num_images_mean,num_images_std,vendi_pixel_mean,vendi_pixel_std,vendi_inception_mean,vendi_inception_std,fid_mean,fid_std,fid_clean_mean,fid_clean_std,clip_score_mean,clip_score_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,brisque_mean,brisque_std
dpp,truck,3.0,64.0,0.0,2.6969838069467227,0.5020068495198444,4.502249693870544,0.7844099126539957,126.96049692211992,2.461687793019389,,,27.0620849609375,0.7819556135657179,0.8517151078758761,0.03209465445058164,18.831797885894776,2.850859041516014
dpp,truck,5.0,64.0,0.0,2.577035479060363,0.6533828715798815,3.832793343067169,0.6300864758721441,125.54129367627998,1.6657035799210385,,,26.68023681640625,0.6697484257668826,0.8383242608625443,0.03963394267734579,23.691252613067626,3.7208136908641225
dpp,truck,7.5,64.0,0.0,2.499613774023966,0.670464603529369,3.5049644231796266,0.48711266449942475,124.88085932049971,1.3204947238607245,,,26.4634765625,0.5934060249535934,0.8316542004318908,0.04858436218150969,30.93544645309448,4.228239454862224
pg,truck,3.0,64.0,0.0,2.6036490132647185,0.41262556102200887,4.790341067314148,0.4549615057954216,128.95153163190773,1.8524167851279285,,,27.14976806640625,0.613844218807255,0.8528108391975984,0.02796954513010868,39.084049093723294,5.129252891587026
pg,truck,5.0,64.0,0.0,2.562033328951409,0.535191639844198,4.263800144195557,0.4070744365655121,128.02602309496245,1.8312436973298218,,,26.57373046875,0.5493213347275262,0.8522268034517765,0.03757699138178205,35.16816241741181,4.401903131846711
pg,truck,7.5,64.0,0.0,2.533666637991593,0.5864437497229357,4.046439802646637,0.41802233324313853,127.5596179795335,1.5751613459669622,,,26.5228515625,0.5257155859711482,0.8399473017011768,0.0465059750196235,38.43050855398178,6.116230652289862
cads,truck,3.0,64.0,0.0,2.864237523762753,0.44850996158597006,4.8364572763443,0.6409805578174035,128.4071049455044,1.7987493284775662,,,26.89149169921875,0.6789728573169144,0.8884006641437299,0.026766775976836774,21.345339077711106,3.3006675080557346
cads,truck,5.0,64.0,0.0,2.772990761416205,0.5748798140395484,4.275228583812714,0.5216578955107514,127.64768124970348,1.4744759396156966,,,26.528466796875,0.615744454170634,0.8738661766436417,0.0321486233280942,23.572435402870177,3.830423343559301
cads,truck,7.5,64.0,0.0,2.7006151589118597,0.6823273688446962,4.056817150115966,0.44886455122215196,127.38119654984969,1.564380596553974,,,26.55411376953125,0.5306452700299005,0.8630530399335548,0.03498078916850689,29.625185436010362,5.307300523090111
