method,concept,prompt,guidance,steps,brisque_mean,brisque_std,clip_score_mean,clip_score_std,fid_mean,fid_std,num_images_mean,num_images_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,vendi_inception_mean,vendi_inception_std,vendi_pixel_mean,vendi_pixel_std,n
ourmethod,truck,a close-up photo of a truck,3.0,30.0,26.98098263144493,0.9488002271996513,27.75390625,0.04313857302632258,130.64804358952568,1.2399454270349926,64.0,0.0,0.9075146336341277,0.021472757218253643,5.834388017654419,0.33741319891170873,3.7063405194903156,0.11491812928275769,4
ourmethod,truck,a close-up photo of a truck,5.0,30.0,29.851439356803894,0.854306736588805,27.50177001953125,0.10531631096831504,129.40774056631608,1.5791384931898627,64.0,0.0,0.9180148349702358,0.025063948904706135,5.115485787391663,0.35480121594500097,3.8604846029449242,0.15360560004814694,4
ourmethod,truck,a close-up photo of a truck,7.5,30.0,37.57164412736893,1.5081823488876078,27.49468994140625,0.11554316726454784,129.37752018165395,0.8812903583323237,64.0,0.0,0.917990119967144,0.01785594690274904,4.766688942909241,0.18960345044785934,4.0099660767078715,0.14876768390497458,4
ourmethod,truck,a cropped photo of a truck,3.0,30.0,19.497975826263428,2.0434917519135745,27.1922607421875,0.09266511717079463,128.79689459731298,1.2655760959008198,64.0,0.0,0.901964286500588,0.019360336847192034,4.718069076538086,0.28326417096876927,2.786031578475752,0.10804283188492149,4
ourmethod,truck,a cropped photo of a truck,5.0,30.0,22.305778980255127,1.6244207173062393,26.5745849609375,0.0700924573833838,127.63920352119364,1.2978248378684485,64.0,0.0,0.8859993218781893,0.012390076790606282,4.210576415061951,0.15676470073157198,2.659016792377491,0.11025385919281422,4
ourmethod,truck,a cropped photo of a truck,7.5,30.0,27.650650650262833,1.7200022622556375,26.56793212890625,0.13603962756036117,128.17218861216242,1.4541813322843666,64.0,0.0,0.8773440864938311,0.013809614337898552,4.139905571937561,0.18676340406898007,2.514385214547313,0.05857906384503171,4
ourmethod,truck,a photo of a truck,3.0,30.0,19.75395965576172,1.311908782174648,26.515869140625,0.10017186337244217,127.4259445503676,0.8066224695417761,64.0,0.0,0.885188826676458,0.02066003108078108,4.127335786819458,0.31430891091568214,2.6474123537467396,0.08797076780655426,4
ourmethod,truck,a photo of a truck,5.0,30.0,22.181893825531006,1.3925908474642936,26.06201171875,0.04237135396780018,126.3085704334477,0.7547358969090289,64.0,0.0,0.8628919463860802,0.013800050103916673,3.675804078578949,0.16233287922004339,2.4990941886699702,0.09502173071307293,4
ourmethod,truck,a photo of a truck,7.5,30.0,26.92184543609619,0.8884209024297581,26.06573486328125,0.0790835701530562,126.16182721295019,0.7708349348723799,64.0,0.0,0.8463280118955299,0.006387838406332039,3.524111568927765,0.1036660791241831,2.3641196732783856,0.0934399520334514,4
ourmethod,truck,a photo of one truck,3.0,30.0,19.341312885284424,2.438075935461704,27.1561279296875,0.1536321041201736,126.36191169922326,1.40025521195327,64.0,0.0,0.8860045411833561,0.027049822309223714,4.571290016174316,0.27971022484649943,2.518240772078868,0.05883260888271375,4
ourmethod,truck,a photo of one truck,5.0,30.0,19.564892292022705,2.4881973801398445,26.7142333984375,0.2122106395870497,127.09935523823796,1.240876582567996,64.0,0.0,0.8609354657982475,0.019317813644536937,4.029883503913879,0.13370941872507278,2.3734073982419592,0.07909602085690438,4
ourmethod,truck,a photo of one truck,7.5,30.0,23.235534191131592,1.4078865995604133,26.49066162109375,0.04725845114331611,125.86697305878863,0.3715959816258337,64.0,0.0,0.8431005197251216,0.01519214936184733,3.76787406206131,0.14518118890721116,2.272094600627636,0.07619108733692391,4
ourmethod,truck,a truck,3.0,30.0,21.152464389801025,0.7601224974559853,25.83929443359375,0.0752004316164542,128.80273029109242,0.8793876131095516,64.0,0.0,0.8613310327241197,0.0285008698813296,4.931203484535217,0.32904995069959875,2.66316239502209,0.0897717195177192,4
ourmethod,truck,a truck,5.0,30.0,23.95817255973816,1.5896773840228176,25.78973388671875,0.0933384604550096,127.78353648932205,0.7312898705238288,64.0,0.0,0.8414893141854555,0.024981854747720408,4.3443931341171265,0.12694551597362627,2.47295082484668,0.12215997083234673,4
ourmethod,truck,a truck,7.5,30.0,32.74625277519226,1.9562706043821882,26.15155029296875,0.15403685409826115,127.32747368369321,0.8273048726130015,64.0,0.0,0.8305024615861476,0.01886152958019429,4.0855056047439575,0.03878757920527522,2.3425102293980924,0.09802254663067554,4
