method,concept,prompt,guidance,steps,brisque_mean,brisque_std,clip_score_mean,clip_score_std,fid_mean,fid_std,num_images_mean,num_images_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,vendi_inception_mean,vendi_inception_std,vendi_pixel_mean,vendi_pixel_std,n
dpp,truck,a close-up photo of a truck,3.0,30.0,23.840500354766846,1.237865855000566,27.62994384765625,0.08937022603229522,143.86923261491222,3.688897542468766,64.0,0.0,0.8982405569311231,0.011898091843631147,5.856547236442566,0.3430434525531614,3.6508448584999353,0.1354491533159946,4
dpp,truck,a close-up photo of a truck,5.0,30.0,29.561026573181152,1.62579660168956,27.1378173828125,0.10259417309316989,139.42742117691236,1.6255354883957804,64.0,0.0,0.9110824432468506,0.013443653228705917,4.931310653686523,0.16418050415395066,3.82703254533304,0.1734249819787619,4
dpp,truck,a close-up photo of a truck,7.5,30.0,36.756587982177734,1.107561926084998,27.012451171875,0.12111048428978878,141.0476387629401,3.9782339055048954,64.0,0.0,0.9125581995071844,0.01147578491370409,4.304840683937073,0.2899176791917497,3.792274763096228,0.1291436021008658,4
dpp,truck,a cropped photo of a truck,3.0,30.0,17.176713466644287,1.565006965583388,27.81695556640625,0.10488018598529601,139.6370896803344,4.067858707763142,64.0,0.0,0.8833004355302546,0.00913375347674982,4.605835795402527,0.2603005774340262,2.5884980622286604,0.06849509918492074,4
dpp,truck,a cropped photo of a truck,5.0,30.0,20.768950939178467,1.3308684502951764,27.302001953125,0.09915295920214626,138.3095562203956,2.7570844814890734,64.0,0.0,0.8747305803920609,0.018640338758601306,3.972024738788605,0.2008581209191964,2.419647332869526,0.06215225240384003,4
dpp,truck,a cropped photo of a truck,7.5,30.0,27.045723915100098,0.9248376252005507,26.88238525390625,0.08833289309757868,138.62243925690353,4.787709782552978,64.0,0.0,0.8557860871660523,0.013222536119493854,3.719204604625702,0.07141668709782878,2.3054405156576276,0.05938533300346873,4
dpp,truck,a photo of a truck,3.0,30.0,17.99143886566162,0.38554643634354546,26.725341796875,0.09719638632557366,139.4311612082186,4.664045666861394,64.0,0.0,0.8575594969035591,0.013066100568737919,3.8242228627204895,0.1589953651692613,2.3925664232233066,0.053913647909781266,4
dpp,truck,a photo of a truck,5.0,30.0,23.374717712402344,0.7905143163937567,26.2774658203125,0.0593208132653658,135.82852562456878,3.16891540054644,64.0,0.0,0.8336468128650449,0.01875751334191367,3.2934390902519226,0.11624892381268777,2.1968331408346056,0.06296213183056147,4
dpp,truck,a photo of a truck,7.5,30.0,31.041545391082764,0.39767049285974315,26.121826171875,0.046103593885078606,137.30176604982432,2.7292166608397763,64.0,0.0,0.8191432982939295,0.017179064595810218,3.103812575340271,0.08158624971755375,2.1284230278999265,0.04535523441963735,4
dpp,truck,a photo of one truck,3.0,30.0,16.413562297821045,0.8112556068552369,27.39501953125,0.10025612297607324,138.5083855575869,3.172223890721097,64.0,0.0,0.8599346259143203,0.013572571754331481,3.9785441756248474,0.24074592694572555,2.3643955447251335,0.05872818151559246,4
dpp,truck,a photo of one truck,5.0,30.0,20.242831230163574,2.1247837604147612,27.08709716796875,0.05273376276108257,135.2166347764136,1.0626937481835053,64.0,0.0,0.8327320421906188,0.020465685185982418,3.3842966556549072,0.07753966899808372,2.177288393296907,0.07225420878737258,4
dpp,truck,a photo of one truck,7.5,30.0,25.956632137298584,0.266050607944928,26.80511474609375,0.07953275103298545,136.19637329042678,2.10512117912416,64.0,0.0,0.8138554800208657,0.01597371048227571,3.2397568225860596,0.1164114510673784,2.092909513001417,0.06368984387013603,4
dpp,truck,a truck,3.0,30.0,18.736774444580078,0.9124186228019532,25.7431640625,0.16107225917923818,136.27150798924686,3.2829513612553884,64.0,0.0,0.8508122578100301,0.008486343861271117,4.2460983991622925,0.31981573366491506,2.488614146056577,0.09439980568211515,4
dpp,truck,a truck,5.0,30.0,24.508736610412598,1.9803864435881948,25.5968017578125,0.13225385571095086,137.142680281553,2.3147295798980916,64.0,0.0,0.8320873780641704,0.012735346253717776,3.582895576953888,0.23107479811559892,2.264375982967737,0.09021724997706768,4
dpp,truck,a truck,7.5,30.0,33.87674283981323,0.9802255399175891,25.49560546875,0.056048576562407526,137.79113553739003,5.435528440764814,64.0,0.0,0.8187664540181868,0.012880819261783846,3.157207429409027,0.09770671820333686,2.17902105046463,0.03363100903817682,4
