method,concept,prompt,guidance,steps,brisque_mean,brisque_std,clip_score_mean,clip_score_std,fid_mean,fid_std,num_images_mean,num_images_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,vendi_inception_mean,vendi_inception_std,vendi_pixel_mean,vendi_pixel_std,n
pg,truck,a close-up photo of a truck,3.0,30.0,34.45388901233673,5.68811153433455,27.8243408203125,0.20958099290616644,143.5147938934994,3.3484693193944195,64.0,0.0,0.8929162349191029,0.014757937178153997,5.5310763120651245,0.13236300785723226,3.332534144660212,0.24659881034552275,4
pg,truck,a close-up photo of a truck,5.0,30.0,34.17907273769379,1.0519071892556906,27.4510498046875,0.2004516449169744,141.82522776717178,1.8290067238228065,64.0,0.0,0.9164425706118344,0.013086161565078145,4.915915369987488,0.20063706402768075,3.555209095805164,0.26691696259967346,4
pg,truck,a close-up photo of a truck,7.5,30.0,35.767938911914825,3.9425484551322665,27.4554443359375,0.13493160033834528,143.6336940951482,2.1800357740889735,64.0,0.0,0.9159898037207312,0.013391051436861671,4.675068259239197,0.12265899798762493,3.6415755344120697,0.23886021199052354,4
pg,truck,a cropped photo of a truck,3.0,30.0,43.88211399316788,3.467605169724215,27.65252685546875,0.15283467998382783,142.81728606792137,3.12420288956633,64.0,0.0,0.8644230550143401,0.026278302929888517,4.7324782609939575,0.2679235772671844,2.493227322940722,0.16549864249535118,4
pg,truck,a cropped photo of a truck,5.0,30.0,36.40094995498657,3.1964792836256106,26.6976318359375,0.12149416443529926,142.87932595773893,2.714810182391426,64.0,0.0,0.860752895376645,0.01964509905114053,4.286496996879578,0.133557295136932,2.420199795171225,0.1407373831729565,4
pg,truck,a cropped photo of a truck,7.5,30.0,40.301647901535034,2.4769595633396855,26.4776611328125,0.1714943224687265,142.07101879364853,5.601540262844456,64.0,0.0,0.8380783270206302,0.019721632558121333,4.093480944633484,0.06797162563224941,2.3791568804992758,0.1119788061341625,4
pg,truck,a photo of a truck,3.0,30.0,36.488961696624756,2.184139325253779,26.66644287109375,0.07234074580173315,142.74912290332782,5.913193357894344,64.0,0.0,0.8460498622851447,0.02757165307429899,4.2508673667907715,0.0933574406369689,2.410445191426436,0.17073282733187087,4
pg,truck,a photo of a truck,5.0,30.0,31.476853132247925,2.3341129455276852,26.12548828125,0.11671334876755957,138.35900491179947,2.540141763648575,64.0,0.0,0.8376483034831472,0.023662803972906363,3.8058302998542786,0.11408028772316671,2.3170608017562664,0.13850094051373998,4
pg,truck,a photo of a truck,7.5,30.0,35.4880827665329,2.8631476837939855,26.0289306640625,0.04932869232531354,140.35369511720637,3.07626290924639,64.0,0.0,0.8106925039076305,0.01208777582406144,3.4858806133270264,0.10492678063637653,2.2383890386139362,0.10785199405913073,4
pg,truck,a photo of one truck,3.0,30.0,40.48508274555206,3.3253518215501088,27.311767578125,0.10186058706978651,139.34884968693905,0.7635565292241806,64.0,0.0,0.8381662633013911,0.0338439331876356,4.621005654335022,0.13181051707640418,2.3254662501171897,0.15257813106918608,4
pg,truck,a photo of one truck,5.0,30.0,33.43537425994873,2.711645813413758,26.6248779296875,0.12922559542438541,136.21604654054488,1.6185879457175671,64.0,0.0,0.8257566907943692,0.025602958420177478,3.9983341097831726,0.12461917106419958,2.2162368499920357,0.12423095404928418,4
pg,truck,a photo of one truck,7.5,30.0,32.93197274208069,3.4684093066767283,26.45758056640625,0.1097520731641084,138.51189299940287,1.9303244883080097,64.0,0.0,0.8092796152899973,0.02114895558063277,3.807798683643341,0.1378852069780446,2.15509095916582,0.09878155012874508,4
pg,truck,a truck,3.0,30.0,40.11019802093506,5.842739862348031,26.296630859375,0.2228193968088471,140.8703385351149,3.8788104423338083,64.0,0.0,0.8232789994357154,0.026568489671180497,4.816277742385864,0.17978511981288164,2.4565721571790324,0.17682357814484612,4
pg,truck,a truck,5.0,30.0,40.34856200218201,6.108226650310334,25.9696044921875,0.14531741390328595,140.27333704652452,3.469357587422492,64.0,0.0,0.820037704501301,0.02119648865205525,4.312423944473267,0.13564919692417662,2.301460102032353,0.1280223467361833,4
pg,truck,a truck,7.5,30.0,47.66290044784546,3.922614995287305,26.19464111328125,0.22658831350664801,141.6305704445271,3.6703113460391954,64.0,0.0,0.8035187769308686,0.018495802272745054,4.169970512390137,0.10917606015598469,2.254120777266864,0.0846572123839448,4
